clip_id,path,video_id,start_time,end_time,label,split
clip_000000,train/passaggio/clip_000000.mp4,basket_2nd,7.17,8.43,passaggio,train
clip_000001,train/passaggio/clip_000001.mp4,basket_2nd,14.87,15.39,passaggio,train
clip_000002,train/non-gioco/clip_000002.mp4,basket_2nd,18.016189542365613,20.61475653851032,non-gioco,train
clip_000003,train/non-gioco/clip_000003.mp4,basket_2nd,20.130861375354716,21.818434671277515,non-gioco,train
clip_000004,train/tiroDaDue0/clip_000004.mp4,basket_2nd,33.72,35.16,tiroDaDue0,train
clip_000005,train/passaggio/clip_000005.mp4,basket_2nd,36.22,36.4,passaggio,train
clip_000006,train/passaggio/clip_000006.mp4,basket_2nd,37.54,38.01,passaggio,train
clip_000007,train/passaggio/clip_000007.mp4,basket_2nd,41.28,42.2,passaggio,train
clip_000008,train/passaggio/clip_000008.mp4,basket_2nd,42.59,42.84,passaggio,train
clip_000009,train/tiroDaTre0/clip_000009.mp4,basket_2nd,43.39,44.98,tiroDaTre0,train
clip_000010,train/passaggio/clip_000010.mp4,basket_2nd,53.83,54.37,passaggio,train
clip_000011,train/tiroDaDue0/clip_000011.mp4,basket_2nd,59.47,60.7,tiroDaDue0,train
clip_000012,train/non-gioco/clip_000012.mp4,basket_2nd,62.03,64.53,non-gioco,train
clip_000013,train/non-gioco/clip_000013.mp4,basket_2nd,68.2578169997421,71.09899503515213,non-gioco,train
clip_000014,train/idle/clip_000014.mp4,basket_2nd,71.1326704993296,72.86567049932978,idle,train
clip_000015,train/non-gioco/clip_000015.mp4,basket_2nd,72.88,73.86,non-gioco,train
clip_000016,train/passaggio/clip_000016.mp4,basket_2nd,76.0,76.61,passaggio,train
clip_000017,train/passaggio/clip_000017.mp4,basket_2nd,79.42,79.8,passaggio,train
clip_000018,train/passaggio/clip_000018.mp4,basket_2nd,80.84,81.39,passaggio,train
clip_000019,train/passaggio/clip_000019.mp4,basket_2nd,84.51,85.15,passaggio,train
clip_000020,train/tiroDaDue1/clip_000020.mp4,basket_2nd,87.62,89.12,tiroDaDue1,train
clip_000021,train/passaggio/clip_000021.mp4,basket_2nd,101.19,101.67,passaggio,train
clip_000022,train/passaggio/clip_000022.mp4,basket_2nd,103.0,103.68,passaggio,train
clip_000023,train/passaggio/clip_000023.mp4,basket_2nd,106.4,106.96,passaggio,train
clip_000024,train/tiroDaDue0/clip_000024.mp4,basket_2nd,108.63,110.06,tiroDaDue0,train
clip_000025,train/passaggio/clip_000025.mp4,basket_2nd,111.03,111.5,passaggio,train
